# Commit hash map for the author-identity rewrite of experiment 01.
#
# WHY THIS FILE EXISTS
#   Before publication the repository's git history was rewritten to replace the author and
#   committer identity, which had been a personal email address, with a GitHub no-reply address,
#   and to strip a session-URL trailer from every commit message. Rewriting the identity changes
#   every commit hash.
#
#   The run bundles under runs/*/bundle.json record the commit each experiment ran at. Those
#   recorded hashes are the OLD ones and no longer exist in this repository. This file maps them
#   to the commits that replaced them, so a bundle can still be traced to its code.
#
# WHAT WAS AND WAS NOT CHANGED
#   Changed:   author name, author email, committer name, committer email; the session trailer.
#   Unchanged: every file, every tree hash, every author date, every committer date, the order and
#              parentage of commits, and the Co-Authored-By attribution to the model that wrote
#              the code.
#
#   Verified after the rewrite: all 29 old/new pairs have identical tree hashes and identical
#   author and committer dates; git log --all shows exactly one identity; the replaced strings
#   occur zero times across all git objects, refs, the reflog, .git/config and every tracked file;
#   and git fsck reports no dangling or unreachable objects after the reflog was expired and the
#   repository garbage-collected.
#
#   Nothing had been pushed when this happened, so no published history was rewritten. The
#   pre-rewrite history is preserved in an offline backup only.
#
# FORMAT
#   <old commit>  <new commit>  <subject>
#

8a046b426841790dffe6e2d77dfd2a599fbc5f0f  4eb66d4998cb3e407dc3f19cf93e23e25dbba7ca  Three Limitations edits from review
8dd3bfa7c0c4db02d8c08afe4b882acc2e5a1721  28c816b433b88c73ec4967a0dee692dc93376910  M10 ablation/convergence results and the showcase finding
a6d015d01632f11be9de42fbe7cbe9d65e53e8e7  0a6ea903dfedb7317a88f1f0e713237e2949d233  Part 2: Limitations section, and a correction it turned up
b19d780550a17f1a68dd7e8d8c925e3893fa0cfa  39303063ddda8a73a94d22502769c6ffa1c026a3  RETRACT the "learned to flank" claim; replace it with metrics that can move
b3bafe62eb439c87a8056a62ead86f14102f500d  f61d26963af96a57cc522777d0c2102d25b2bb2e  configs/default.yaml, tuple coercion, dead code removed
c7493fc16cdfe68046161e8b43ffd359ce2ee24c  847f14e50d3bf47b97f5e9a821075d3c1fca0a4a  M10 tools: per-strain ablation, matched controls, convergence, tactics
ca92cdbd478f7f45572e5de999078b9813f8d8c2  8d9e76a44a12612f81c51267b5e0f488484d16c3  M1: connectome loader, interface mapping, provenance
cda10e4bb7959c9a6336541583d72eea5d20a8e6  881f355d119fa10ac5714a9aaaeede43b74b1b83  Genome loading validates against stored shapes; showcase renders a duel
d4f4acf0c25171c3ad68f30803536026a5f552d6  cebbefa3f7d85e8b8d8eb88c9e686f0986bc2264  Per-graph motor gain calibration, plus M11 and showcase scripts
d83d8b78e2dc76417fa66416e86d92a8452cfa81  697a4d70e9cdd688a4a92687858a39b9b59d8b8a  M4/M5 scaffolding: evolution, SH/RD graphs, hierarchical bootstrap
dd811950bf492c152f62235209f49ca2f0f79831  33783f9a96b0d773e6f0ec2c6991683cfe2b3d72  README: findings, interpretation and the script index
e58e599e67839c2dd4b061920683d609ab91a9d2  5ff6da7861cb86fe7ced1678938b52de42a9477d  Fix arena density in mixed-headcount batches; varying swarm sizes
eb01c5f96e28e444a259e44429811dc7edd55438  e40e727fd0e69d29cbae584784bb7faa3e7494e5  M0: repo skeleton, plan, environment check
